#configname,clex_mut
SCEL8_4_1_2_0_0_0/10,-0.34671360241
SCEL8_4_1_2_0_0_0/11,-0.337559120197
SCEL8_4_1_2_0_0_0/12,-0.405695833993
SCEL8_4_1_2_0_0_0/13,-0.334093981208
SCEL8_4_1_2_0_0_0/14,-0.232844975258
SCEL8_4_1_2_0_0_0/15,-0.394019331472
SCEL8_4_1_2_0_0_0/16,-0.15004935808
SCEL8_4_1_2_0_0_0/17,-0.290503562823
SCEL8_4_1_2_0_0_0/18,-0.298903747728
SCEL8_4_1_2_0_0_0/19,-0.239932811854
SCEL8_4_1_2_0_0_0/2,-0.335337814091
SCEL8_4_1_2_0_0_0/20,-0.268225329696
SCEL8_4_1_2_0_0_0/3,-0.251842588401
SCEL8_4_1_2_0_0_0/4,-0.319066316849
SCEL8_4_1_2_0_0_0/5,-0.32258010336
SCEL8_4_1_2_0_0_0/6,-0.321692634979
SCEL8_4_1_2_0_0_0/7,-0.382685370669
SCEL8_4_1_2_0_0_0/8,-0.337401837447
SCEL8_4_1_2_0_0_0/9,-0.233800903927
SCEL8_4_1_2_0_0_1/0,-0.155418135421
SCEL8_4_1_2_0_0_1/1,-0.273133026572
SCEL8_4_1_2_0_0_1/10,-0.353319496435
SCEL8_4_1_2_0_0_1/11,-0.315116299034
SCEL8_4_1_2_0_0_1/12,-0.202510656707
SCEL8_4_1_2_0_0_1/13,-0.413217217014
SCEL8_4_1_2_0_0_1/14,-0.391260248966
SCEL8_4_1_2_0_0_1/15,-0.416890773508
SCEL8_4_1_2_0_0_1/2,-0.365505718941
SCEL8_4_1_2_0_0_1/3,-0.411847393894
SCEL8_4_1_2_0_0_1/4,-0.347155417379
SCEL8_4_1_2_0_0_1/5,-0.421713744063
SCEL8_4_1_2_0_0_1/6,-0.375495338131
SCEL8_4_1_2_0_0_1/7,-0.388039333961
SCEL8_4_1_2_0_0_1/8,-0.441931918364
SCEL8_4_1_2_0_0_1/9,-0.367876579016
SCEL8_4_1_2_0_1_0/0,-0.145480457683
SCEL8_4_1_2_0_1_0/1,-0.233216066873
SCEL8_4_1_2_0_1_0/10,-0.340841558867
SCEL8_4_1_2_0_1_0/11,-0.281536429583
SCEL8_4_1_2_0_1_0/12,-0.321903226805
SCEL8_4_1_2_0_1_0/13,-0.364619812779
SCEL8_4_1_2_0_1_0/14,-0.355205637319
SCEL8_4_1_2_0_1_0/15,-0.310161243308
SCEL8_4_1_2_0_1_0/16,-0.34727727292
SCEL8_4_1_2_0_1_0/17,-0.247487605486
SCEL8_4_1_2_0_1_0/18,-0.337486484188
SCEL8_4_1_2_0_1_0/19,-0.337236751133
SCEL8_4_1_2_0_1_0/2,-0.240817078586
SCEL8_4_1_2_0_1_0/20,-0.317479567751
SCEL8_4_1_2_0_1_0/21,-0.25521564095
SCEL8_4_1_2_0_1_0/22,-0.273330424458
SCEL8_4_1_2_0_1_0/23,-0.160249358289
SCEL8_4_1_2_0_1_0/3,-0.2731247074
SCEL8_4_1_2_0_1_0/4,-0.261360589355
SCEL8_4_1_2_0_1_0/5,-0.292250445091
SCEL8_4_1_2_0_1_0/6,-0.282974705486
SCEL8_4_1_2_0_1_0/7,-0.338051250211
SCEL8_4_1_2_0_1_0/8,-0.327924771962
SCEL8_4_1_2_0_1_0/9,-0.330663646156
SCEL8_4_1_2_0_1_2/0,-0.165897977024
SCEL8_4_1_2_0_1_2/1,-0.271110296572
SCEL8_4_1_2_0_1_2/10,-0.394162938549
SCEL8_4_1_2_0_1_2/11,-0.355517986193
SCEL8_4_1_2_0_1_2/12,-0.373301685122
SCEL8_4_1_2_0_1_2/13,-0.403821850374
SCEL8_4_1_2_0_1_2/14,-0.400940727274
SCEL8_4_1_2_0_1_2/15,-0.390038048356
SCEL8_4_1_2_0_1_2/16,-0.372313516206
SCEL8_4_1_2_0_1_2/17,-0.314471746973
SCEL8_4_1_2_0_1_2/18,-0.416052209293
SCEL8_4_1_2_0_1_2/19,-0.357028142402
SCEL8_4_1_2_0_1_2/2,-0.278920536876
SCEL8_4_1_2_0_1_2/20,-0.408404789888
SCEL8_4_1_2_0_1_2/21,-0.303176750968
